country,cuisines,restaurant_count,percentage,average_rating,total_reviews
Austria,Afghani,9,0.0496113775425831,3.7777777777777777,49.0
Austria,African,9,0.0496113775425831,4.611111111111111,83.0
Austria,Albanian,1,0.005512375282509233,4.5,2.0
Austria,Algerian,1,0.005512375282509233,4.0,2.0
Austria,American,327,1.8025467173805192,4.0504587155963305,8182.0
Austria,Apulian,2,0.011024750565018466,3.0,48.0
Austria,Arabic,31,0.17088363375778623,4.338709677419355,244.0
Austria,Argentinian,12,0.0661485033901108,4.25,637.0
Austria,Armenian,4,0.022049501130036932,4.0,199.0
Austria,Asian,841,4.635907612590265,4.093935790725327,20408.0
Austria,Assyrian,1,0.005512375282509233,4.5,1.0
Austria,Australian,11,0.06063612810760157,4.318181818181818,127.0
Austria,Austrian,8446,46.557521636072984,4.187366800852475,189583.0
Austria,Azerbaijani,1,0.005512375282509233,4.0,20.0
Austria,Balti,8,0.044099002260073863,4.0,40.0
Austria,Bangladeshi,2,0.011024750565018466,5.0,3.0
Austria,Bar,975,5.374565900446503,4.17025641025641,30506.0
Austria,Barbecue,215,1.1851606857394852,4.148837209302326,5518.0
Austria,Beer restaurants,31,0.17088363375778623,4.112903225806452,2714.0
Austria,Beijing cuisine,1,0.005512375282509233,3.5,3.0
Austria,Belgian,5,0.027561876412546166,4.4,40.0
Austria,Brazilian,6,0.0330742516950554,4.416666666666667,39.0
Austria,Brew Pub,90,0.496113775425831,4.122222222222222,6450.0
Austria,British,13,0.07166087867262003,4.423076923076923,365.0
Austria,Burmese,1,0.005512375282509233,4.0,2.0
Austria,Cafe,1938,10.682983297502895,4.199174406604747,51987.0
Austria,Cajun & Creole,2,0.011024750565018466,4.5,6.0
Austria,Cambodian,1,0.005512375282509233,5.0,9.0
Austria,Campania,25,0.13780938206273083,4.26,1113.0
Austria,Caribbean,6,0.0330742516950554,3.9166666666666665,165.0
Austria,Caucasian,1,0.005512375282509233,2.0,1.0
Austria,Central American,24,0.1322970067802216,3.7916666666666665,1191.0
Austria,Central Asian,11,0.06063612810760157,4.2272727272727275,161.0
Austria,Central European,2718,14.982636017860095,4.18635025754231,125161.0
Austria,Central-Italian,17,0.09371037980265697,4.294117647058823,1939.0
Austria,Chilean,1,0.005512375282509233,5.0,18.0
Austria,Chinese,519,2.860922771622292,3.959537572254335,5395.0
Austria,Colombian,2,0.011024750565018466,4.25,118.0
