country,cuisines,restaurant_count,percentage,average_rating,total_reviews,obesity_rate,GDP per capita
Austria,International,1098,6.052588060195138,4.210837887067395,36896.0,21.5,49865.90394
Austria,Irish,18,0.0992227550851662,4.25,919.0,21.5,49865.90394
Austria,Israeli,23,0.1267846314977123,4.065217391304348,1307.0,21.5,49865.90394
Austria,Italian,1845,10.170332396229536,4.0262872628726285,39928.0,21.5,49865.90394
Austria,Japanese,273,1.5048784521250207,4.062271062271062,5086.0,21.5,49865.90394
Austria,Japanese Fusion,9,0.0496113775425831,4.555555555555555,47.0,21.5,49865.90394
Austria,Kappo,1,0.0055123752825092,4.5,4.0,21.5,49865.90394
Austria,Korean,47,0.2590816382779339,4.26595744680851,825.0,21.5,49865.90394
Austria,Latin,36,0.1984455101703324,4.208333333333333,1037.0,21.5,49865.90394
Austria,Lazio,5,0.0275618764125461,4.4,574.0,21.5,49865.90394
Austria,Lebanese,17,0.0937103798026569,4.323529411764706,228.0,21.5,49865.90394
Austria,Ligurian,1,0.0055123752825092,4.0,20.0,21.5,49865.90394
Austria,Malaysian,4,0.0220495011300369,3.75,50.0,21.5,49865.90394
Austria,Medicinal foods,6,0.0330742516950554,4.833333333333333,22.0,21.5,49865.90394
Austria,Mediterranean,1126,6.206934568105397,4.113676731793961,33125.0,21.5,49865.90394
Austria,Mexican,105,0.5787994046634695,4.0095238095238095,1982.0,21.5,49865.90394
Austria,Middle Eastern,174,0.9591532991566064,4.155172413793103,3635.0,21.5,49865.90394
Austria,Mongolian,10,0.0551237528250923,3.85,73.0,21.5,49865.90394
Austria,Moroccan,11,0.0606361281076015,4.181818181818182,139.0,21.5,49865.90394
Austria,Native American,1,0.0055123752825092,4.0,18.0,21.5,49865.90394
Austria,Neapolitan,27,0.1488341326277492,4.25925925925926,1289.0,21.5,49865.90394
Austria,Nepalese,9,0.0496113775425831,4.555555555555555,407.0,21.5,49865.90394
Austria,New Zealand,1,0.0055123752825092,4.5,16.0,21.5,49865.90394
Austria,Northern-Italian,10,0.0551237528250923,4.35,275.0,21.5,49865.90394
Austria,Norwegian,1,0.0055123752825092,5.0,4.0,21.5,49865.90394
Austria,Not specified,2946,16.239457582272202,4.131194840461643,26003.0,21.5,49865.90394
Austria,Pakistani,9,0.0496113775425831,4.277777777777778,337.0,21.5,49865.90394
Austria,Persian,26,0.14332175734524,4.057692307692308,457.0,21.5,49865.90394
Austria,Peruvian,7,0.0385866269775646,4.142857142857143,181.0,21.5,49865.90394
Austria,Philippine,3,0.0165371258475277,3.8333333333333335,30.0,21.5,49865.90394
Austria,Pizza,1359,7.491318008930047,3.944076526857984,27536.0,21.5,49865.90394
Austria,Polish,11,0.0606361281076015,4.227272727272728,93.0,21.5,49865.90394
Austria,Portuguese,8,0.0440990022600738,4.5625,136.0,21.5,49865.90394
Austria,Pub,905,4.988699630670856,4.2,14518.0,21.5,49865.90394
Austria,Romana,5,0.0275618764125461,4.4,574.0,21.5,49865.90394
Austria,Romanian,3,0.0165371258475277,4.5,36.0,21.5,49865.90394
Austria,Russian,10,0.0551237528250923,4.25,112.0,21.5,49865.90394
Austria,Salvadoran,1,0.0055123752825092,4.5,5.0,21.5,49865.90394
Austria,Sardinian,3,0.0165371258475277,4.666666666666667,58.0,21.5,49865.90394
Austria,Scandinavian,5,0.0275618764125461,4.4,45.0,21.5,49865.90394
Austria,Scottish,3,0.0165371258475277,4.333333333333333,30.0,21.5,49865.90394
Austria,Seafood,359,1.9789427264208144,4.229805013927576,7949.0,21.5,49865.90394
Austria,Shojin,1,0.0055123752825092,4.5,4.0,21.5,49865.90394
Austria,Sicilian,12,0.0661485033901108,4.25,1221.0,21.5,49865.90394
Austria,Slovenian,9,0.0496113775425831,3.611111111111111,20.0,21.5,49865.90394
Austria,Soups,231,1.273358690259633,4.313852813852814,11141.0,21.5,49865.90394
Austria,South American,48,0.2645940135604432,4.197916666666667,466.0,21.5,49865.90394
Austria,Southern-Italian,57,0.3142053911030263,4.298245614035087,2344.0,21.5,49865.90394
Austria,Southwestern,7,0.0385866269775646,3.7857142857142856,121.0,21.5,49865.90394
Austria,Spanish,87,0.4795766495783032,4.258620689655173,1652.0,21.5,49865.90394
Austria,Sri Lankan,6,0.0330742516950554,4.083333333333333,135.0,21.5,49865.90394
Austria,Steakhouse,218,1.201697811587013,4.23394495412844,6726.0,21.5,49865.90394
Austria,Street Food,99,0.5457251529684141,4.474747474747475,1453.0,21.5,49865.90394
Austria,Sushi,372,2.050603605093435,3.969086021505377,6935.0,21.5,49865.90394
Austria,Swedish,8,0.0440990022600738,4.0,33.0,21.5,49865.90394
Austria,Swiss,24,0.1322970067802216,4.333333333333333,252.0,21.5,49865.90394
Austria,Taiwanese,13,0.07166087867262,4.307692307692308,150.0,21.5,49865.90394
Austria,Thai,171,0.9426161733090788,4.292397660818714,2829.0,21.5,49865.90394
Austria,Tibetan,5,0.0275618764125461,4.5,135.0,21.5,49865.90394
Austria,Tunisian,3,0.0165371258475277,4.166666666666667,45.0,21.5,49865.90394
Austria,Turkish,161,0.8874924204839865,4.127329192546584,1627.0,21.5,49865.90394
Austria,Tuscan,10,0.0551237528250923,4.15,2153.0,21.5,49865.90394
Austria,Ukrainian,1,0.0055123752825092,4.0,16.0,21.5,49865.90394
Austria,Venezuelan,4,0.0220495011300369,4.75,46.0,21.5,49865.90394
Austria,Vietnamese,99,0.5457251529684141,4.237373737373737,1870.0,21.5,49865.90394
Austria,Welsh,1,0.0055123752825092,3.5,215.0,21.5,49865.90394
Austria,Wine Bar,577,3.1806405380078275,4.3466204506065855,5180.0,21.5,49865.90394
Belgium,Afghani,1,0.018348623853211,4.0,26.0,24.1,46200.90445
Belgium,African,23,0.4220183486238532,4.108695652173913,125.0,24.1,46200.90445
Belgium,Albanian,3,0.055045871559633,4.5,14.0,24.1,46200.90445
Belgium,American,120,2.201834862385321,3.875,1789.0,24.1,46200.90445
Belgium,Arabic,10,0.1834862385321101,4.4,95.0,24.1,46200.90445
Belgium,Argentinian,3,0.055045871559633,4.0,90.0,24.1,46200.90445
Belgium,Armenian,1,0.018348623853211,5.0,2.0,24.1,46200.90445
Belgium,Asian,424,7.779816513761467,3.891509433962264,6453.0,24.1,46200.90445
Belgium,Australian,2,0.036697247706422,4.5,2.0,24.1,46200.90445
Belgium,Bangladeshi,3,0.055045871559633,4.166666666666667,45.0,24.1,46200.90445
Belgium,Bar,260,4.770642201834862,3.794230769230769,5134.0,24.1,46200.90445
Belgium,Barbecue,96,1.761467889908257,4.114583333333333,1755.0,24.1,46200.90445
Belgium,Beer restaurants,4,0.073394495412844,3.75,84.0,24.1,46200.90445
Belgium,Belgian,1813,33.26605504587156,4.011031439602868,28564.0,24.1,46200.90445
Belgium,Brazilian,7,0.128440366972477,4.214285714285714,241.0,24.1,46200.90445
Belgium,Brew Pub,53,0.9724770642201834,4.19811320754717,519.0,24.1,46200.90445
Belgium,British,5,0.091743119266055,4.0,66.0,24.1,46200.90445
Belgium,Cafe,151,2.770642201834862,4.145695364238411,1266.0,24.1,46200.90445
Belgium,Cambodian,2,0.036697247706422,4.0,26.0,24.1,46200.90445
Belgium,Campania,3,0.055045871559633,4.0,81.0,24.1,46200.90445
Belgium,Canadian,3,0.055045871559633,3.6666666666666665,36.0,24.1,46200.90445
Belgium,Caribbean,7,0.128440366972477,4.357142857142857,146.0,24.1,46200.90445
Belgium,Catalan,3,0.055045871559633,4.333333333333333,34.0,24.1,46200.90445
Belgium,Central American,8,0.146788990825688,4.0,152.0,24.1,46200.90445
Belgium,Central Asian,2,0.036697247706422,4.0,7.0,24.1,46200.90445
Belgium,Central European,27,0.4954128440366972,4.296296296296297,491.0,24.1,46200.90445
Belgium,Central-Italian,8,0.146788990825688,4.25,243.0,24.1,46200.90445
Belgium,Chinese,272,4.990825688073394,3.806985294117647,4150.0,24.1,46200.90445
